text,drug,effect,indexes,label
"Four years after the beginning of IFN therapy, he acutely developed moderate hyperglycemia and severe ketonuria with positive islet cell antibody, and then 28 units/day of insulin injection was started.",IFN,severe ketonuria,"{'drug': {'start_char': array([34], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([111], dtype=int32)}}",1
"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described.",phosphate,hyperphosphataemia,0,0
"CONCLUSIONS: This is the first report of a possible interaction between propafenone and citalopram, which caused propafenone adverse effects (eg, dizziness, falls) and mimicked coronary artery disease.",citalopram,falls,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([98], dtype=int32)}, 'effect': {'start_char': array([157], dtype=int32), 'end_char': array([162], dtype=int32)}}",1
"However, in 1993, a clinical study involving 400 patients on the Thai-Burmese border revealed cardiac effects of antimalarial treatment with halofantrine, including one sudden death after the treatment.",halofantrine,cardiac effects,"{'drug': {'start_char': array([141], dtype=int32), 'end_char': array([153], dtype=int32)}, 'effect': {'start_char': array([94], dtype=int32), 'end_char': array([109], dtype=int32)}}",1
The occurrence of neuromuscular blockade and the resulting potentiation of muscle relaxants during magnesium sulfate (MgSO4) administration is well known.,MgSO4,neuromuscular blockade,"{'drug': {'start_char': array([118], dtype=int32), 'end_char': array([123], dtype=int32)}, 'effect': {'start_char': array([18], dtype=int32), 'end_char': array([40], dtype=int32)}}",1
Two case reports of bilateral granulomatous anterior uveitis are described in patients with open angle glaucoma treated with metripranolol 0.6% eye drops.,metripranolol,bilateral granulomatous anterior uveitis,"{'drug': {'start_char': array([125], dtype=int32), 'end_char': array([138], dtype=int32)}, 'effect': {'start_char': array([20], dtype=int32), 'end_char': array([60], dtype=int32)}}",1
Azathioprine can cause severe myelosuppression.,Azathioprine,myelosuppression,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([12], dtype=int32)}, 'effect': {'start_char': array([30], dtype=int32), 'end_char': array([46], dtype=int32)}}",1
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,polyserositis,"{'drug': {'start_char': array([142, 205], dtype=int32), 'end_char': array([151, 214], dtype=int32)}, 'effect': {'start_char': array([46], dtype=int32), 'end_char': array([59], dtype=int32)}}",1
"Ciprofloxacin is among the standard treatments for infected ischemic ulcers; in the rare case of ciprofloxacin-induced hemorrhagic vasculitis, it might be interpreted as progression of infection, instead of a complication of the treatment, thus leading to faulty diagnosis and treatment.",ciprofloxacin,hemorrhagic vasculitis,"{'drug': {'start_char': array([97], dtype=int32), 'end_char': array([110], dtype=int32)}, 'effect': {'start_char': array([119], dtype=int32), 'end_char': array([141], dtype=int32)}}",1
CONCLUSION: The administration of tissue plasminogen activator was responsible for the large extent of hemorrhage and should be considered in the differential diagnosis of hemorrhagic choroidal detachment.,tissue plasminogen activator,hemorrhagic choroidal detachment,"{'drug': {'start_char': array([34], dtype=int32), 'end_char': array([62], dtype=int32)}, 'effect': {'start_char': array([172], dtype=int32), 'end_char': array([204], dtype=int32)}}",1
"OBJECTIVE: We report a patient who developed neutropenia on clozapine, but behind the cell count decrease showed to be a diurnal variation of the white blood cells (WBC).",clozapine,diurnal variation of the white blood cells,"{'drug': {'start_char': array([60], dtype=int32), 'end_char': array([69], dtype=int32)}, 'effect': {'start_char': array([121], dtype=int32), 'end_char': array([163], dtype=int32)}}",1
"In case no. 2, the pathogenic mechanism seemed to be persistent light reaction preceded by systemic photoallergy, as he had taken mequitazine for 6 months, and there were strong positive photopatch test results with immediate erythema reaction, cross-reaction to promethazine, decreased MED to both UVA and UVB, and persistence of the photosensitivity over a 3-year follow-up period after discontinuation of the mequitazine.",mequitazine,decreased MED to both UVA and UVB,"{'drug': {'start_char': array([130, 412], dtype=int32), 'end_char': array([141, 423], dtype=int32)}, 'effect': {'start_char': array([277], dtype=int32), 'end_char': array([310], dtype=int32)}}",1
We presented a patient with status asthmaticus treated with a combination of theophylline and prednisone who developed a perforated gastric ulcer.,prednisone,perforated gastric ulcer,"{'drug': {'start_char': array([94], dtype=int32), 'end_char': array([104], dtype=int32)}, 'effect': {'start_char': array([121], dtype=int32), 'end_char': array([145], dtype=int32)}}",1
We describe a continuous ambulatory peritoneal dialysis (CAPD) patient that developed vancomycin-induced agranulocytosis during treatment for methicillin-resistant Staphylococcus aureus (MRSA)-associated external cuff infection and pneumonia.,methicillin,infection,0,0
AIM: Report of a case of a woman patient who developed celiac disease after pegylated interferon alpha-2a and ribavirin use for chronic hepatitis C.,ribavirin,hepatitis,0,0
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.",diazepam,hypomanic,0,0
"Previous studies have demonstrated the interaction of MTX and a variety of non-steroidal, anti-inflammatory drugs (NSAIDs) with various clinical manifestations including acute renal failure, pancytopenia, vomiting, diarrhea, elevated liver transaminases, jaundice, mucosal ulcerations, and pyrexia.",MTX,pyrexia,"{'drug': {'start_char': array([54], dtype=int32), 'end_char': array([57], dtype=int32)}, 'effect': {'start_char': array([290], dtype=int32), 'end_char': array([297], dtype=int32)}}",1
"We suggest that sarcoidosis may develop in chronic hepatitis C patients during interferon alpha and/or ribavirin treatment, and diagnostic tests for this adverse effect should be performed during the follow-ups.",interferon,hepatitis,0,0
Patient A reported right leg weakness (foot drop) during week 4 of CAP-XRT (1600 mg/m2).,CAP-XRT,right leg weakness,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([19], dtype=int32), 'end_char': array([37], dtype=int32)}}",1
"The authors suggest that in the absence of any proven benefit of itraconazole prophylaxis, and given the interaction of this drug with vincristine leading to severe and even potentially fatal toxicities, the combination use of these drugs should be avoided.",itraconazole,interaction,0,0
OBJECTIVE: To describe a case of cefazolin-induced leukopenia in a critically ill patient who developed this adverse reaction upon rechallenge with cefoxitin.,cefazolin,leukopenia,"{'drug': {'start_char': array([33], dtype=int32), 'end_char': array([42], dtype=int32)}, 'effect': {'start_char': array([51], dtype=int32), 'end_char': array([61], dtype=int32)}}",1
It should be recognized that ibuprofen may be associated with salt and water retention in the same fashion as previously described with phenylbutazone and indomethacin.,phenylbutazone,salt and water retention,"{'drug': {'start_char': array([136], dtype=int32), 'end_char': array([150], dtype=int32)}, 'effect': {'start_char': array([62], dtype=int32), 'end_char': array([86], dtype=int32)}}",1
The fourth patient showed RLS symptoms that were initially caused by a 20-mg daily olanzapine dosage and were later mitigated when olanzapine was reduced and ropinirole was administered.,olanzapine,RLS symptoms,"{'drug': {'start_char': array([ 83, 131], dtype=int32), 'end_char': array([ 93, 141], dtype=int32)}, 'effect': {'start_char': array([26], dtype=int32), 'end_char': array([38], dtype=int32)}}",1
Sustained ventricular tachycardia in a thalidomide-treated patient with primary plasma-cell leukemia.,thalidomide,Sustained ventricular tachycardia,"{'drug': {'start_char': array([39], dtype=int32), 'end_char': array([50], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([33], dtype=int32)}}",1
"Within 3 weeks of beginning continuous daily isoniazid and rifampin therapy for pulmonary tuberculosis, a patient developed acute renal failure.",isoniazid,tuberculosis,0,0
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",clozapine,pericarditis,"{'drug': {'start_char': array([142, 205], dtype=int32), 'end_char': array([151, 214], dtype=int32)}, 'effect': {'start_char': array([105], dtype=int32), 'end_char': array([117], dtype=int32)}}",1
"In this report, one patient who developed gangrene after bleomycin and vincristine/vinblastine chemotherapy for AIDS-related Kaposi's sarcoma and another HIV-infected patient who exhibited symptoms of severe Raynaud's phenomenon related to the same regimen are presented.",vincristine,sarcoma,0,0
a 67-year-old man with bipolar disorder developed a Creutzfeldt-Jakob like syndrome during lithium carbonate treatment.,lithium carbonate,Creutzfeldt-Jakob like syndrome,"{'drug': {'start_char': array([91], dtype=int32), 'end_char': array([108], dtype=int32)}, 'effect': {'start_char': array([52], dtype=int32), 'end_char': array([83], dtype=int32)}}",1
A patient with intracranial osteosarcoma that arose 16 years after radiation therapy for hereditary retinoblastoma developed fatal cerebral edema and brainstem herniation after she received a single dose of intravenous methotrexate.,methotrexate,fatal cerebral edema,"{'drug': {'start_char': array([219], dtype=int32), 'end_char': array([231], dtype=int32)}, 'effect': {'start_char': array([125], dtype=int32), 'end_char': array([145], dtype=int32)}}",1
"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",riluzole,hepatitis,"{'drug': {'start_char': array([37], dtype=int32), 'end_char': array([45], dtype=int32)}, 'effect': {'start_char': array([77], dtype=int32), 'end_char': array([86], dtype=int32)}}",1
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.",temozolomide,infections with Pneumocystis jiroveci pneumonia,"{'drug': {'start_char': array([18], dtype=int32), 'end_char': array([30], dtype=int32)}, 'effect': {'start_char': array([158], dtype=int32), 'end_char': array([205], dtype=int32)}}",1
A 68-year-old female patient with advanced ovarian carcinoma collapsed whilst receiving a carboplatin and cyclophosphamide infusion.,cyclophosphamide,carcinoma,0,0
"Among 12 thyrotoxic patients, a patient with arrhythmogenic right ventricular dysplasia, who had been taking amiodarone for 4 years, developed thyrotoxicosis with subacute onset, accompanied by transiently positive thyrotropin (TSH) receptor antibody (TRAb), or thyrotropin-binding inhibiting immunoglobulin (TBII).",immunoglobulin,thyrotoxicosis,0,0
"A 51-yr-old nonsmoking male patient without any history of previous allergies, asthma, hay fever, or urticaria developed attacks of asthma when captopril was added to the nadolol and dyazide treatment for his high blood pressure.",captopril,urticaria,0,0
"An infant girl with choanal atresia, athelia, minor anomalies, and mild to moderate mental retardation was born to a woman treated for hyperthyroidism throughout pregnancy with methimazole and propranolol.",propranolol,mental retardation,"{'drug': {'start_char': array([193], dtype=int32), 'end_char': array([204], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([102], dtype=int32)}}",1
"An infant girl with choanal atresia, athelia, minor anomalies, and mild to moderate mental retardation was born to a woman treated for hyperthyroidism throughout pregnancy with methimazole and propranolol.",methimazole,hyperthyroidism,0,0
"The authors suggest that in the absence of any proven benefit of itraconazole prophylaxis, and given the interaction of this drug with vincristine leading to severe and even potentially fatal toxicities, the combination use of these drugs should be avoided.",vincristine,interaction,0,0
CONCLUSION: Lipoid pneumonia as a result of mineral oil aspiration still occurs in the pediatric population.,mineral oil,Lipoid pneumonia,"{'drug': {'start_char': array([44], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([28], dtype=int32)}}",1
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.",Vancomycin,anaphylactoid,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([10], dtype=int32)}, 'effect': {'start_char': array([271], dtype=int32), 'end_char': array([284], dtype=int32)}}",1
Atrial fibrillation was induced by diltiazem in two patients and verapamil induced syncope in one patient.,verapamil,syncope,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([83], dtype=int32), 'end_char': array([90], dtype=int32)}}",1
"Quinine and its isomer quinidine are well-known causes of iatrogenic hypoglycaemia, due to excessive insulin secretion.",quinidine,iatrogenic hypoglycaemia,"{'drug': {'start_char': array([23], dtype=int32), 'end_char': array([32], dtype=int32)}, 'effect': {'start_char': array([58], dtype=int32), 'end_char': array([82], dtype=int32)}}",1
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.",methicillin,anaphylactoid,0,0
"We present a case of hemolytic-uremic syndrome that developed during the 4th cycle of combination chemotherapy with oxaliplatin, 5-fluorouracil and leucovorin.",5-fluorouracil,hemolytic-uremic syndrome,"{'drug': {'start_char': array([129], dtype=int32), 'end_char': array([143], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([46], dtype=int32)}}",1
Generalised cutaneous rash associated with ganciclovir therapy has rarely been reported in literature.,ganciclovir,Generalised cutaneous rash,"{'drug': {'start_char': array([43], dtype=int32), 'end_char': array([54], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([26], dtype=int32)}}",1
Physicians should be aware of the potential for the development of RS among children who are receiving long-term aspirin therapy for the treatment of systemic inflammatory illnesses.,aspirin,RS,"{'drug': {'start_char': array([113], dtype=int32), 'end_char': array([120], dtype=int32)}, 'effect': {'start_char': array([67], dtype=int32), 'end_char': array([69], dtype=int32)}}",1
"From 1996 to 2002 several medications were changed due to their adverse effects: indinavir (renal colic and fever), nelfinavir (cutaneous rash), and efavirenz (nausea and temporary memory loss).",indinavir,nausea,0,0
Alprazolam withdrawal delirium unresponsive to diazepam: case report.,diazepam,unresponsive,0,0
"From 1996 to 2002 several medications were changed due to their adverse effects: indinavir (renal colic and fever), nelfinavir (cutaneous rash), and efavirenz (nausea and temporary memory loss).",nelfinavir,nausea,0,0
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",sulfamethoxazole,pneumonia,0,0
"He had hypokalemia (K 2.3 mmol/L) induced by licorice and also had received disopyramide for arrhythmia, bicalutamide for prostate cancer, and silodosin for prostate hypertrophy.",bicalutamide,arrhythmia,0,0
"Three of these patients had convulsions attributed to imipenem/cilastatin; 3.6% of the patients had seizure, or 2% of imipenem/cilastatin administrations was followed by a seizure attack.",imipenem,convulsions,"{'drug': {'start_char': array([ 54, 118], dtype=int32), 'end_char': array([ 62, 126], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([39], dtype=int32)}}",1
We report a case with chronic hepatitis C (CHC) who developed sarcoidosis after the treatment by interferon alpha and ribavirin.,ribavirin,hepatitis,0,0
"METHOD: Case analysis of a poly-drug overdose (venlafaxine, topiramate, divalproex sodium, risperidone, and carbamazepine) presenting with mixed SS/NMS features and whose clinical management suggests a practical algorithm for treatment of undifferentiated SS/NMS in critical care settings.",divalproex sodium,NMS,"{'drug': {'start_char': array([72], dtype=int32), 'end_char': array([89], dtype=int32)}, 'effect': {'start_char': array([148, 259], dtype=int32), 'end_char': array([151, 262], dtype=int32)}}",1
"The authors postulate that two types of combined lithium-neuroleptic toxicity occur: a neuroleptic malignant extrapyramidal syndrome and a lithium toxicity that occurs in combination with phenothiazines, primarily thioridazine.",phenothiazines,toxicity,0,0
Linezolid-induced dyserythropoiesis: chloramphenicol toxicity revisited.,chloramphenicol,toxicity,0,0
"Three patients who had experienced neuroleptic-induced akathisia in the past reported that the symptoms of fluoxetine-induced akathisia were identical, although somewhat milder.",fluoxetine,akathisia,"{'drug': {'start_char': array([107], dtype=int32), 'end_char': array([117], dtype=int32)}, 'effect': {'start_char': array([ 55, 126], dtype=int32), 'end_char': array([ 64, 135], dtype=int32)}}",1
The purpose of this article is to present the first case-series of posterior reversible encephalopathy syndrome (PRES) associated with L-asparaginase treatment.,L-asparaginase,PRES,"{'drug': {'start_char': array([135], dtype=int32), 'end_char': array([149], dtype=int32)}, 'effect': {'start_char': array([113], dtype=int32), 'end_char': array([117], dtype=int32)}}",1
We have described three patients with hepatitis C for whom IFN-alpha and ribavirin were prescribed and who developed two successive phases of silent thyroiditis followed by hyperthryroidism relapse due to Graves' disease.,ribavirin,hepatitis,0,0
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,interferon-alpha,neurotoxicity,"{'drug': {'start_char': array([ 73, 225], dtype=int32), 'end_char': array([ 89, 241], dtype=int32)}, 'effect': {'start_char': array([195], dtype=int32), 'end_char': array([208], dtype=int32)}}",1
OBJECTIVE: To report teicoplanin-related neutropenia that developed after an episode of neutropenia induced by vancomycin therapy.,vancomycin,neutropenia,"{'drug': {'start_char': array([111], dtype=int32), 'end_char': array([121], dtype=int32)}, 'effect': {'start_char': array([41, 88], dtype=int32), 'end_char': array([52, 99], dtype=int32)}}",1
"Herein, we describe a patient with AIDS who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.",rituximab,lymphoma,0,0
"A sixty-year-old woman with advanced breast cancer, previously treated with cisplatin, developed an irreversible lethal renal failure with anuria, the day after 5 g/m2 bolus ifosfamide.",cisplatin,lethal,0,0
"We present a case report of a patient with alveolar hydatid disease, whose treatment with mebendazole was brief due to side effects of alopecia and granulocytopenia; and review the features of this disease which, with increasing international migration, may be encountered more frequently in Australia.",mebendazole,granulocytopenia,"{'drug': {'start_char': array([90], dtype=int32), 'end_char': array([101], dtype=int32)}, 'effect': {'start_char': array([148], dtype=int32), 'end_char': array([164], dtype=int32)}}",1
"Due to discomfort, diplopia and lagophthalmos, the haematoma necessitated suspension of warfarin therapy and a surgical evacuation.",warfarin,haematoma,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([51], dtype=int32), 'end_char': array([60], dtype=int32)}}",1
A 61-year-old man with early diffuse cutaneous scleroderma with myositis and progressive interstitial pneumonia developed generalized erythema with high fever 3 weeks after taking sulfamethoxazole/trimethoprim.,sulfamethoxazole,myositis,0,0
"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described.",methotrexate,metabolic acidosis,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([96], dtype=int32)}, 'effect': {'start_char': array([258], dtype=int32), 'end_char': array([276], dtype=int32)}}",1
TREATMENT/OUTCOME: Standard anti-tuberculosis therapy was administered but was complicated by interaction with cyclosporine and drug-induced cholestasis.,cyclosporine,cholestasis,"{'drug': {'start_char': array([111], dtype=int32), 'end_char': array([123], dtype=int32)}, 'effect': {'start_char': array([141], dtype=int32), 'end_char': array([152], dtype=int32)}}",1
"CASE SUMMARY: A 57-year-old female with cardiomyopathy and ""sulfa"" (trimethoprim/sulfamethoxazole) allergy documented as pancreatitis presented with symptoms consistent with pancreatitis after use of furosemide.",sulfamethoxazole,allergy,0,0
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.",corticosteroids,lymphocytopenia,0,0
"CASE SUMMARY: A 57-year-old female with cardiomyopathy and ""sulfa"" (trimethoprim/sulfamethoxazole) allergy documented as pancreatitis presented with symptoms consistent with pancreatitis after use of furosemide.",sulfamethoxazole,cardiomyopathy,0,0
A teenage girl with crescentic glomerulonephritis had antineutrophil cytoplasmic antibody (ANCA) detected after she had received propylthiouracil (PTU) for hyperthyroidism without cutaneous vasculitis.,propylthiouracil,vasculitis,0,0
"After three weeks of carbamazepine therapy, the patient arrived at the emergency department (ED) with severe agitation and aggressive behavior.",carbamazepine,severe agitation,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([34], dtype=int32)}, 'effect': {'start_char': array([102], dtype=int32), 'end_char': array([118], dtype=int32)}}",1
Hypertension develops in most patients after transplantation when immunosuppression is based on cyclosporine and prednisone.,cyclosporine,immunosuppression,0,0
"Herein, we describe a patient with AIDS who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.",etoposide,lymphoma,0,0
"The rash seen in this patient, who was treated with cephalexin, may be similar to the rash seen with ampicillin treatment of patients with infectious mononucleosis.",ampicillin,mononucleosis,0,0
"METHODS: A patient who developed dramatic, permanent vision loss after a 9-month course of treatment with ethambutol and isoniazid for pulmonary tuberculosis is presented.",ethambutol,tuberculosis,0,0
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,naproxen,pain,0,0
"BACKGROUND: Methotrexate (MTX) may induce liver damage, which in some psoriatics will lead to fibrosis or cirrhosis.",lead,fibrosis,0,0
INTRODUCTION: We describe the neurointensive care (NIC) management of a patient with severe cerebral swelling and raised intracranial pressure (ICP) after severe sodium valproic acid (VPA) intoxication.,sodium valproic acid,raised intracranial pressure,"{'drug': {'start_char': array([162], dtype=int32), 'end_char': array([182], dtype=int32)}, 'effect': {'start_char': array([114], dtype=int32), 'end_char': array([142], dtype=int32)}}",1
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.",methicillin,anaphylaxis,0,0
Severe vancomycin-induced anaphylactic reaction.,vancomycin,anaphylactic reaction,"{'drug': {'start_char': array([7], dtype=int32), 'end_char': array([17], dtype=int32)}, 'effect': {'start_char': array([26], dtype=int32), 'end_char': array([47], dtype=int32)}}",1
We report a case of a patient with mild chronic renal insufficiency who had been taking simvastatin for over a year and developed acute weakness within 3 weeks after the start of treatment with colchicine for acute gouty bursitis.,simvastatin,mild chronic renal insufficiency,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([99], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([67], dtype=int32)}}",1
An apparent link is described between the use of MMF with prednisone to treat pemphigus vulgaris and the development of red blood cell anemia.,prednisone,red blood cell anemia,"{'drug': {'start_char': array([58], dtype=int32), 'end_char': array([68], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([141], dtype=int32)}}",1
Fatal radiation myelopathy after high-dose busulfan and melphalan chemotherapy and radiotherapy for Ewing's sarcoma: a review of the literature and implications for practice.,busulfan,sarcoma,0,0
Laryngeal dyspnea in relation to an interaction between acenocoumarol and topical econazole lotion.,econazole,interaction,0,0
Syringotropic hypersensitivity reaction associated with infliximab and leflunomide combination therapy in a child with psoriatic arthritis.,leflunomide,arthritis,0,0
"We describe a patient with transitional cell carcinoma of the renal pelvis who developed respiratory dysfunction and an abnormal chest x-ray with diffuse interstitial opacities while on chemotherapy with piritrexim, a methotrexate analog.",piritrexim,respiratory dysfunction,"{'drug': {'start_char': array([204], dtype=int32), 'end_char': array([214], dtype=int32)}, 'effect': {'start_char': array([89], dtype=int32), 'end_char': array([112], dtype=int32)}}",1
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",ARA-C,gastrointestinal tract symptoms,"{'drug': {'start_char': array([152], dtype=int32), 'end_char': array([157], dtype=int32)}, 'effect': {'start_char': array([251], dtype=int32), 'end_char': array([282], dtype=int32)}}",1
We report an unusual case of simultaneous transitional cell carcinoma of the renal pelvis and distal ureter without transitional cell carcinoma of the bladder occurring after chronic cyclophosphamide therapy for nonHodgkin's lymphoma.,cyclophosphamide,transitional cell carcinoma of the renal pelvis,"{'drug': {'start_char': array([183], dtype=int32), 'end_char': array([199], dtype=int32)}, 'effect': {'start_char': array([42], dtype=int32), 'end_char': array([89], dtype=int32)}}",1
Increased libido in a woman treated with fluvoxamine: a case report.,fluvoxamine,Increased libido,"{'drug': {'start_char': array([41], dtype=int32), 'end_char': array([52], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([16], dtype=int32)}}",1
In both patients the rippling phenomena worsened with pyridostigmine treatment but markedly improved after immunosuppression with azathioprine.,azathioprine,immunosuppression,0,0
We present a case of hypereosinophilia related to zafirlukast therapy.,zafirlukast,hypereosinophilia,"{'drug': {'start_char': array([50], dtype=int32), 'end_char': array([61], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([38], dtype=int32)}}",1
INTRODUCTION-The aim of this case report is to present a 15-year follow-up of a patient with phenytoin (PHT) intoxication with unilateral gingival hyperplasia (GH).,phenytoin,intoxication,0,0
"Intravenous verapamil therapy in babies may cause apnea, hypotension, and bradycardia; continued episodes of atrial flutter in a child may cause sudden death; quinidine may be related to the death; children with ""familial seizure disorders"" may in fact have the long QT interval syndrome.",quinidine,seizure,0,0
"Sulfasalazine-induced lung disorder is an extremely rare entity which must be considered in all ulcerative colitis patients while on sulfasalazine therapy, despite the absence of pulmonary symptomatology.",sulfasalazine,ulcerative colitis,"{'drug': {'start_char': array([133], dtype=int32), 'end_char': array([146], dtype=int32)}, 'effect': {'start_char': array([96], dtype=int32), 'end_char': array([114], dtype=int32)}}",1
Case 4: A 61-year-old male alcoholic who remained completely abstinent while taking cyanamide for 3 years showed slight elevation of serum transaminases.,cyanamide,elevation of serum transaminases,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([93], dtype=int32)}, 'effect': {'start_char': array([120], dtype=int32), 'end_char': array([152], dtype=int32)}}",1
RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,oxaprozin,pain,0,0
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",docetaxel,carcinoma,0,0
Retinopathy in hepatitis C patients due to combination therapy with pegylated interferon and ribavirin.,ribavirin,hepatitis,0,0
Primary central nervous system lymphoma in a patient treated with natalizumab.,natalizumab,Primary central nervous system lymphoma,"{'drug': {'start_char': array([66], dtype=int32), 'end_char': array([77], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([39], dtype=int32)}}",1
"CONCLUSION: This is, to our knowledge, the first report of severe myelopathy following accidental intrathecal administration of doxorubicin.",doxorubicin,severe myelopathy,"{'drug': {'start_char': array([128], dtype=int32), 'end_char': array([139], dtype=int32)}, 'effect': {'start_char': array([59], dtype=int32), 'end_char': array([76], dtype=int32)}}",1
"MTX-induced hepatic injury and liver enzyme elevations have been demonstrated after treatment of leukemia, gestational disease and during treatment of psoriasis and rheumatoid arthritis.",MTX,hepatic injury,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([3], dtype=int32)}, 'effect': {'start_char': array([12], dtype=int32), 'end_char': array([26], dtype=int32)}}",1
Upper gastrointestinal haemorrhage is a serious complication of aspirin and clopidogrel (dual) anti-platelet therapy with a high morbidity and mortality.,aspirin,mortality,0,0
The use of methotrexate (MTX) has been contraindicated for treatment of severe psoriasis in HIV infection on the basis of six previously reported cases in which MTX appeared to potentiate opportunistic infections and accelerate HIV disease.,methotrexate,infection,0,0
